pais;ano;quantidade_valor;quantidade_kg;type
georgia do sul e sawich do sul, ilhas;1971;0;0;importacao_vinhos_de_mesa
grecia;1971;0;0;importacao_vinhos_de_mesa
hong kong;1971;0;0;importacao_vinhos_de_mesa
hungria;1971;0;0;importacao_vinhos_de_mesa
ionesia;1971;0;0;importacao_vinhos_de_mesa
irlaa;1971;0;0;importacao_vinhos_de_mesa
israel;1971;0;0;importacao_vinhos_de_mesa
italia;1971;56377;108409;importacao_vinhos_de_mesa
japao;1971;0;0;importacao_vinhos_de_mesa
iugoslavia;1971;375;640;importacao_vinhos_de_mesa
libano;1971;0;0;importacao_vinhos_de_mesa
luxemburgo;1971;0;0;importacao_vinhos_de_mesa
macedonia;1971;0;0;importacao_vinhos_de_mesa
marrocos;1971;0;0;importacao_vinhos_de_mesa
mexico;1971;0;0;importacao_vinhos_de_mesa
moldavia;1971;0;0;importacao_vinhos_de_mesa
montenegro;1971;0;0;importacao_vinhos_de_mesa
noruega;1971;0;0;importacao_vinhos_de_mesa
nova zelaia;1971;0;0;importacao_vinhos_de_mesa
paises baixos _holaa;1971;0;0;importacao_vinhos_de_mesa
panama;1971;0;0;importacao_vinhos_de_mesa
peru;1971;0;0;importacao_vinhos_de_mesa
porto rico;1971;0;0;importacao_vinhos_de_mesa
portugal;1971;620790;897310;importacao_vinhos_de_mesa
reino unido;1971;0;0;importacao_vinhos_de_mesa
republica dominicana;1971;0;0;importacao_vinhos_de_mesa
romênia;1971;0;0;importacao_vinhos_de_mesa
russia;1971;0;0;importacao_vinhos_de_mesa
san marino;1971;0;0;importacao_vinhos_de_mesa
servia;1971;0;0;importacao_vinhos_de_mesa
siria;1971;0;0;importacao_vinhos_de_mesa
suazilaia;1971;0;0;importacao_vinhos_de_mesa
suica;1971;0;0;importacao_vinhos_de_mesa
tcheca, republica;1971;0;0;importacao_vinhos_de_mesa
tunisia;1971;0;0;importacao_vinhos_de_mesa
turquia;1971;0;0;importacao_vinhos_de_mesa
ucrania;1971;0;0;importacao_vinhos_de_mesa
uruguai;1971;636;1917;importacao_vinhos_de_mesa
nao consta na tabela;1971;0;0;importacao_vinhos_de_mesa
nao declarados;1971;0;0;importacao_vinhos_de_mesa
outros;1971;42028;77789;importacao_vinhos_de_mesa
africa do sul;1972;0;0;importacao_vinhos_de_mesa
alemanha;1972;92103;134438;importacao_vinhos_de_mesa
argelia;1972;0;0;importacao_vinhos_de_mesa
arabia saudita;1972;0;0;importacao_vinhos_de_mesa
argentina;1972;58137;104906;importacao_vinhos_de_mesa
armênia;1972;0;0;importacao_vinhos_de_mesa
