cod_produto;produto;ano;litros
suco;suco;1972;3509440
suco_de_uva_simples;suco_de_uva_integral;1972;3509440
suco_concentrado;suco_de_uva_concentrado;1972;0
suco_de_uva_adocado;suco_de_uva_adocado;1972;0
suco_de_uva_organico;suco_de_uva_organico;1972;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1972;0
derivados;derivados;1972;12314509
derivados_espumante;espumante;1972;0
derivados_espumante_moscatel;espumante_moscatel;1972;0
derivados_base_espumante;base_espumante;1972;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1972;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1972;0
derivados_base_charmat_champanha;base_charmat_champanha;1972;0
derivados_bebida_de_uva;bebida_de_uva;1972;0
derivados_polpa_de_uva;polpa_de_uva;1972;0
derivados_mosto_simples;mosto_simples;1972;6051822
derivados_mosto_concentrado;mosto_concentrado;1972;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1972;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1972;0
derivados_mistelas;mistelas;1972;871200
derivados_nectar_de_uva;nectar_de_uva;1972;0
derivados_licorosos;licorosos;1972;254600
derivados_compostos;compostos;1972;1358300
derivados_jeropiga;jeropiga;1972;0
derivados_filtrado;filtrado;1972;0
derivados_frisante;frisante;1972;0
derivados_vinho_leve;vinho_leve;1972;0
derivados_vinho_licoroso;vinho_licoroso;1972;0
derivados_brandy;brandy;1972;0
derivados_destilado;destilado;1972;0
derivados_bagaceira;bagaceira;1972;755350
derivados_licor_de_bagaceira;licor_de_bagaceira;1972;0
derivados_vinagre;vinagre;1972;8200
derivados_borra_liquida;borra_liquida;1972;3015037
derivados_borra_seca;borra_seca;1972;0
derivados_vinho_composto;vinho_composto;1972;0
derivados_pisco;pisco;1972;0
derivados_vinho_organico;vinho_organico;1972;0
derivados_espumante_organico;espumante_organico;1972;0
derivados_destilado_alcoolico_simples_de_bagaceira_;destilado_alcoolico_simples_de_bagaceira_;1972;0
derivados_vinho_acidificado_;vinho_acidificado_;1972;0
derivados_mosto_parcialmente_fermentado_;mosto_parcialmente_fermentado_;1972;0
derivados_outros_derivados;outros_derivados;1972;0
vinho_de_mesa;vinho_de_mesa;1973;116710345
vinho_mesa_tinto;tinto;1973;88589019
vinho_mesa_branco;branco;1973;243900
vinho_mesa_rosado;rosado;1973;27877426
vinho_fino_de_mesa_vinifera;vinho_fino_de_mesa_vinifera;1973;12368410
vinho_viniferas_tinto;tinto;1973;3419625
vinho_viniferas_branco;branco;1973;7930070
vinho_viniferas_rosado;rosado;1973;1018715
suco;suco;1973;0
suco_de_uva_simples;suco_de_uva_integral;1973;0
suco_concentrado;suco_de_uva_concentrado;1973;0
suco_de_uva_adocado;suco_de_uva_adocado;1973;0
suco_de_uva_organico;suco_de_uva_organico;1973;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1973;0
derivados;derivados;1973;28317919
derivados_espumante;espumante;1973;0
derivados_espumante_moscatel;espumante_moscatel;1973;0
derivados_base_espumante;base_espumante;1973;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1973;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1973;0
derivados_base_charmat_champanha;base_charmat_champanha;1973;0
derivados_bebida_de_uva;bebida_de_uva;1973;0
derivados_polpa_de_uva;polpa_de_uva;1973;0
derivados_mosto_simples;mosto_simples;1973;21779327
derivados_mosto_concentrado;mosto_concentrado;1973;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1973;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1973;0
derivados_mistelas;mistelas;1973;512900
derivados_nectar_de_uva;nectar_de_uva;1973;0
derivados_licorosos;licorosos;1973;176500
derivados_compostos;compostos;1973;1628000
derivados_jeropiga;jeropiga;1973;0
derivados_filtrado;filtrado;1973;0
derivados_frisante;frisante;1973;0
derivados_vinho_leve;vinho_leve;1973;0
derivados_vinho_licoroso;vinho_licoroso;1973;0
derivados_brandy;brandy;1973;0
derivados_destilado;destilado;1973;0
derivados_bagaceira;bagaceira;1973;661270
derivados_licor_de_bagaceira;licor_de_bagaceira;1973;0
derivados_vinagre;vinagre;1973;0
derivados_borra_liquida;borra_liquida;1973;3559922
derivados_borra_seca;borra_seca;1973;0
derivados_vinho_composto;vinho_composto;1973;0
derivados_pisco;pisco;1973;0
derivados_vinho_organico;vinho_organico;1973;0
derivados_espumante_organico;espumante_organico;1973;0
derivados_destilado_alcoolico_simples_de_bagaceira_;destilado_alcoolico_simples_de_bagaceira_;1973;0
derivados_vinho_acidificado_;vinho_acidificado_;1973;0
derivados_mosto_parcialmente_fermentado_;mosto_parcialmente_fermentado_;1973;0
derivados_outros_derivados;outros_derivados;1973;0
vinho_de_mesa;vinho_de_mesa;1974;193875345
vinho_mesa_tinto;tinto;1974;146544484
vinho_mesa_branco;branco;1974;4138768
vinho_mesa_rosado;rosado;1974;43192093
vinho_fino_de_mesa_vinifera;vinho_fino_de_mesa_vinifera;1974;31644124
vinho_viniferas_tinto;tinto;1974;10047658
vinho_viniferas_branco;branco;1974;18927471
vinho_viniferas_rosado;rosado;1974;2668995
suco;suco;1974;0
suco_de_uva_simples;suco_de_uva_integral;1974;0
suco_concentrado;suco_de_uva_concentrado;1974;0
suco_de_uva_adocado;suco_de_uva_adocado;1974;0
suco_de_uva_organico;suco_de_uva_organico;1974;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1974;0
derivados;derivados;1974;47904934
derivados_espumante;espumante;1974;0
derivados_espumante_moscatel;espumante_moscatel;1974;0
derivados_base_espumante;base_espumante;1974;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1974;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1974;0
derivados_base_charmat_champanha;base_charmat_champanha;1974;0
derivados_bebida_de_uva;bebida_de_uva;1974;0
derivados_polpa_de_uva;polpa_de_uva;1974;0
derivados_mosto_simples;mosto_simples;1974;41346735
derivados_mosto_concentrado;mosto_concentrado;1974;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1974;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1974;0
derivados_mistelas;mistelas;1974;826300
derivados_nectar_de_uva;nectar_de_uva;1974;0
derivados_licorosos;licorosos;1974;135000
derivados_compostos;compostos;1974;0
derivados_jeropiga;jeropiga;1974;0
derivados_filtrado;filtrado;1974;0
derivados_frisante;frisante;1974;0
derivados_vinho_leve;vinho_leve;1974;0
derivados_vinho_licoroso;vinho_licoroso;1974;0
derivados_brandy;brandy;1974;0
derivados_destilado;destilado;1974;0
derivados_bagaceira;bagaceira;1974;424620
derivados_licor_de_bagaceira;licor_de_bagaceira;1974;0
derivados_vinagre;vinagre;1974;35300
derivados_borra_liquida;borra_liquida;1974;5136979
derivados_borra_seca;borra_seca;1974;0
derivados_vinho_composto;vinho_composto;1974;0
derivados_pisco;pisco;1974;0
derivados_vinho_organico;vinho_organico;1974;0
derivados_espumante_organico;espumante_organico;1974;0
derivados_destilado_alcoolico_simples_de_bagaceira_;destilado_alcoolico_simples_de_bagaceira_;1974;0
derivados_vinho_acidificado_;vinho_acidificado_;1974;0
derivados_mosto_parcialmente_fermentado_;mosto_parcialmente_fermentado_;1974;0
derivados_outros_derivados;outros_derivados;1974;0
vinho_de_mesa;vinho_de_mesa;1975;177401209
vinho_mesa_tinto;tinto;1975;144274134
vinho_mesa_branco;branco;1975;1441507
vinho_mesa_rosado;rosado;1975;31685568
vinho_fino_de_mesa_vinifera;vinho_fino_de_mesa_vinifera;1975;39424590
vinho_viniferas_tinto;tinto;1975;14731106
vinho_viniferas_branco;branco;1975;21933695
vinho_viniferas_rosado;rosado;1975;2759789
suco;suco;1975;0
suco_de_uva_simples;suco_de_uva_integral;1975;0
