cod_produto;produto;ano;litros
derivados_vinho_organico;VINHO ORGÂNICO;1971;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1971;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1971;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1971;0
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1971;0
derivados_outros_derivados;OUTROS DERIVADOS;1971;0
vinho_de_mesa;VINHO DE MESA;1972;146953297
vinho_mesa_tinto;TINTO;1972;118180926
vinho_mesa_branco;BRANCO;1972;1812367
vinho_mesa_rosado;ROSADO;1972;26960004
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1972;21078771
vinho_viniferas_tinto;TINTO;1972;6782837
vinho_viniferas_branco;BRANCO;1972;13289304
vinho_viniferas_rosado;ROSADO;1972;1006630
suco;SUCO;1972;3509440
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1972;3509440
suco_concentrado;SUCO DE UVA CONCENTRADO;1972;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1972;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1972;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1972;0
derivados;DERIVADOS;1972;12314509
derivados_espumante;ESPUMANTE;1972;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1972;0
derivados_base_espumante;BASE ESPUMANTE;1972;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1972;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1972;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1972;0
derivados_bebida_de_uva;BEBIDA DE UVA;1972;0
derivados_polpa_de_uva;POLPA DE UVA;1972;0
derivados_mosto_simples;MOSTO SIMPLES;1972;6051822
derivados_mosto_concentrado;MOSTO CONCENTRADO;1972;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1972;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1972;0
derivados_mistelas;MISTELAS;1972;871200
derivados_nectar_de_uva;NÉCTAR DE UVA;1972;0
derivados_licorosos;LICOROSOS;1972;254600
derivados_compostos;COMPOSTOS;1972;1358300
derivados_jeropiga;JEROPIGA;1972;0
derivados_filtrado;FILTRADO;1972;0
derivados_frisante;FRISANTE;1972;0
derivados_vinho_leve;VINHO LEVE;1972;0
derivados_vinho_licoroso;VINHO LICOROSO;1972;0
derivados_brandy;BRANDY;1972;0
derivados_destilado;DESTILADO;1972;0
derivados_bagaceira;BAGACEIRA;1972;755350
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1972;0
derivados_vinagre;VINAGRE;1972;8200
derivados_borra_liquida;BORRA LÍQUIDA;1972;3015037
derivados_borra_seca;BORRA SECA;1972;0
derivados_vinho_composto;VINHO COMPOSTO;1972;0
derivados_pisco;PISCO;1972;0
derivados_vinho_organico;VINHO ORGÂNICO;1972;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1972;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1972;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1972;0
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1972;0
derivados_outros_derivados;OUTROS DERIVADOS;1972;0
vinho_de_mesa;VINHO DE MESA;1973;116710345
vinho_mesa_tinto;TINTO;1973;88589019
vinho_mesa_branco;BRANCO;1973;243900
vinho_mesa_rosado;ROSADO;1973;27877426
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1973;12368410
vinho_viniferas_tinto;TINTO;1973;3419625
vinho_viniferas_branco;BRANCO;1973;7930070
vinho_viniferas_rosado;ROSADO;1973;1018715
suco;SUCO;1973;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1973;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1973;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1973;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1973;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1973;0
derivados;DERIVADOS;1973;28317919
derivados_espumante;ESPUMANTE;1973;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1973;0
derivados_base_espumante;BASE ESPUMANTE;1973;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1973;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1973;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1973;0
derivados_bebida_de_uva;BEBIDA DE UVA;1973;0
derivados_polpa_de_uva;POLPA DE UVA;1973;0
derivados_mosto_simples;MOSTO SIMPLES;1973;21779327
derivados_mosto_concentrado;MOSTO CONCENTRADO;1973;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1973;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1973;0
derivados_mistelas;MISTELAS;1973;512900
